id,weather_id,region_id
0,1117088,NW
1,1117089,NW
2,1118082,SL
3,1118083,RP
4,1118084,RP
5,1118085,RP
6,1118086,RP
7,1118087,NW
8,1118088,NW
9,1118089,NW
10,1118090,NW
11,1118091,NW
12,1118092,NW
13,1119081,SL
14,1119082,SL
15,1119083,RP
16,1119084,RP
17,1119085,RP
18,1119086,RP
19,1119087,NW
20,1119088,NW
21,1119089,NW
22,1119090,NW
23,1119091,NW
24,1119092,NW
25,1119093,NW
26,1120081,SL
27,1120082,SL
28,1120083,RP
29,1120084,RP
30,1120085,RP
31,1120086,RP
32,1120087,RP
33,1120088,NW
34,1120089,NW
35,1120090,NW
36,1120091,NW
37,1120092,NW
38,1120093,NW
39,1120094,NW
40,1120096,NI
41,1121074,BW
42,1121081,RP
43,1121082,RP
44,1121083,RP
45,1121084,RP
46,1121085,RP
47,1121086,RP
48,1121087,RP
49,1121088,NW
50,1121089,NW
51,1121090,NW
52,1121091,NW
53,1121092,NW
54,1121093,NW
55,1121094,NW
56,1121095,NI
57,1121096,NI
58,1121097,NI
59,1121098,NI
60,1121099,NI
61,1121100,NI
62,1121101,NI
63,1122074,BW
64,1122075,BW
65,1122076,BW
66,1122077,BW
67,1122078,BW
68,1122080,RP
69,1122081,RP
70,1122082,RP
71,1122083,RP
72,1122084,RP
73,1122085,RP
74,1122086,RP
75,1122087,RP
76,1122088,RP
77,1122089,NW
78,1122090,NW
79,1122091,NW
80,1122092,NW
81,1122093,NW
82,1122094,NW
83,1122095,NW
84,1122096,NI
85,1122097,NI
86,1122098,NI
87,1122099,NI
88,1122100,NI
89,1122101,NI
90,1123074,BW
91,1123075,BW
92,1123076,BW
93,1123077,BW
94,1123078,BW
95,1123079,BW
96,1123080,RP
97,1123081,RP
98,1123082,RP
99,1123083,RP
100,1123084,RP
101,1123085,HE
102,1123086,HE
103,1123087,HE
104,1123088,NW
105,1123089,NW
106,1123090,NW
107,1123091,NW
108,1123092,NW
109,1123093,NW
110,1123094,NI
111,1123095,NI
112,1123096,NI
113,1123097,NI
114,1123098,NI
115,1123099,NI
116,1123100,NI
117,1123101,NI
118,1124075,BW
119,1124076,BW
120,1124077,BW
121,1124078,BW
122,1124079,BW
123,1124080,BW
124,1124081,BW
125,1124082,BW
126,1124083,HE
127,1124084,HE
128,1124085,HE
129,1124086,HE
130,1124087,HE
131,1124088,HE
132,1124089,NW
133,1124090,NW
134,1124091,NW
135,1124092,NW
136,1124093,NW
137,1124094,NI
138,1124095,NW
139,1124096,NI
140,1124097,NI
141,1124098,NI
142,1124099,NI
143,1124100,NI
144,1125074,BW
145,1125075,BW
146,1125076,BW
147,1125077,BW
148,1125078,BW
149,1125079,BW
150,1125080,BW
151,1125081,BW
152,1125082,HE
153,1125083,HE
154,1125084,HE
155,1125085,HE
156,1125086,HE
157,1125087,HE
158,1125088,HE
159,1125089,HE
160,1125090,HE
161,1125091,NW
162,1125092,NW
163,1125093,NW
164,1125094,NW
165,1125095,NW
166,1125096,NI
167,1125097,NI
168,1125098,HB
169,1125099,NI
170,1125100,NI
171,1125101,NI
172,1125104,SH
173,1125106,SH
174,1126074,BW
175,1126075,BW
176,1126076,BW
177,1126077,BW
178,1126078,BW
179,1126079,BW
180,1126080,BW
181,1126081,BW
182,1126082,BW
183,1126083,BY
184,1126084,BY
185,1126085,HE
186,1126086,HE
187,1126087,HE
188,1126088,HE
189,1126089,HE
190,1126090,HE
191,1126091,NW
192,1126092,NW
193,1126093,NW
194,1126094,NI
195,1126095,NI
196,1126096,NI
197,1126097,NI
198,1126098,NI
199,1126099,NI
200,1126100,NI
201,1126101,NI
202,1126102,SH
203,1126103,SH
204,1126104,SH
205,1126105,SH
206,1126106,SH
207,1127074,BW
208,1127075,BW
209,1127076,BW
210,1127077,BW
211,1127078,BW
212,1127079,BW
213,1127080,BW
214,1127081,BW
215,1127082,BW
216,1127083,BW
217,1127084,BY
218,1127085,BY
219,1127086,HE
220,1127087,HE
221,1127088,HE
222,1127089,HE
223,1127090,HE
224,1127091,HE
225,1127092,NI
226,1127093,NI
227,1127094,NI
228,1127095,NI
229,1127096,NI
230,1127097,NI
231,1127098,NI
232,1127099,NI
233,1127100,NI
234,1127102,SH
235,1127103,SH
236,1127104,SH
237,1127105,SH
238,1127106,SH
239,1128074,BW
240,1128075,BW
241,1128076,BW
242,1128077,BW
243,1128078,BW
244,1128079,BW
245,1128080,BW
246,1128081,BW
247,1128082,BW
248,1128083,BY
249,1128084,BY
250,1128085,BY
251,1128086,BY
252,1128087,HE
253,1128088,HE
254,1128089,HE
255,1128090,HE
256,1128091,NI
257,1128092,NI
258,1128093,NI
259,1128094,NI
260,1128095,NI
261,1128096,NI
262,1128097,NI
263,1128098,NI
264,1128099,NI
265,1128100,HH
266,1128101,SH
267,1128102,SH
268,1128103,SH
269,1128104,SH
270,1128105,SH
271,1129073,BY
272,1129074,BY
273,1129075,BY
274,1129076,BY
275,1129077,BY
276,1129078,BW
277,1129079,BW
278,1129080,BW
279,1129081,BY
280,1129082,BY
281,1129083,BY
282,1129084,BY
283,1129085,BY
284,1129086,BY
285,1129087,TH
286,1129088,TH
287,1129089,TH
288,1129090,TH
289,1129091,NI
290,1129092,NI
291,1129093,NI
292,1129094,NI
293,1129095,NI
294,1129096,NI
295,1129097,NI
296,1129098,NI
297,1129099,NI
298,1129100,HH
299,1129101,SH
300,1129102,SH
301,1129103,SH
302,1129104,SH
303,1130073,BY
304,1130074,BY
305,1130075,BY
306,1130076,BY
307,1130077,BY
308,1130078,BY
309,1130079,BY
310,1130080,BY
311,1130081,BY
312,1130082,BY
313,1130083,BY
314,1130084,BY
315,1130085,BY
316,1130086,TH
317,1130087,TH
318,1130088,TH
319,1130089,TH
320,1130090,TH
321,1130091,TH
322,1130092,NI
323,1130093,NI
324,1130094,NI
325,1130095,NI
326,1130096,NI
327,1130097,NI
328,1130098,NI
329,1130099,NI
330,1130100,SH
331,1130101,SH
332,1130102,SH
333,1130103,SH
334,1131073,BY
335,1131074,BY
336,1131075,BY
337,1131076,BY
338,1131077,BY
339,1131078,BY
340,1131079,BY
341,1131080,BY
342,1131081,BY
343,1131082,BY
344,1131083,BY
345,1131084,BY
346,1131085,BY
347,1131086,TH
348,1131087,TH
349,1131088,TH
350,1131089,TH
351,1131090,TH
352,1131091,TH
353,1131092,ST
354,1131093,ST
355,1131094,NI
356,1131095,NI
357,1131096,NI
358,1131097,ST
359,1131098,NI
360,1131099,NI
361,1131100,MV
362,1131101,MV
363,1131102,MV
364,1131104,SH
365,1132073,BY
366,1132074,BY
367,1132075,BY
368,1132076,BY
369,1132077,BY
370,1132078,BY
371,1132079,BY
372,1132080,BY
373,1132081,BY
374,1132082,BY
375,1132083,BY
376,1132084,BY
377,1132085,BY
378,1132086,TH
379,1132087,TH
380,1132088,TH
381,1132089,TH
382,1132090,TH
383,1132091,ST
384,1132092,ST
385,1132093,ST
386,1132094,ST
387,1132095,ST
388,1132096,ST
389,1132097,ST
390,1132098,NI
391,1132099,MV
392,1132100,MV
393,1132101,MV
394,1132102,MV
395,1133073,BY
396,1133074,BY
397,1133075,BY
398,1133076,BY
399,1133077,BY
400,1133078,BY
401,1133079,BY
402,1133080,BY
403,1133081,BY
404,1133082,BY
405,1133083,BY
406,1133084,BY
407,1133085,BY
408,1133086,BY
409,1133087,TH
410,1133088,TH
411,1133089,TH
412,1133090,ST
413,1133091,ST
414,1133092,ST
415,1133093,ST
416,1133094,ST
417,1133095,ST
418,1133096,ST
419,1133097,ST
420,1133098,BB
421,1133099,MV
422,1133100,MV
423,1133101,MV
424,1133102,MV
425,1133103,MV
426,1134074,BY
427,1134075,BY
428,1134076,BY
429,1134077,BY
430,1134078,BY
431,1134079,BY
432,1134080,BY
433,1134081,BY
434,1134082,BY
435,1134083,BY
436,1134084,BY
437,1134085,BY
438,1134086,BY
439,1134087,TH
440,1134088,TH
441,1134089,ST
442,1134090,ST
443,1134091,ST
444,1134092,ST
445,1134093,ST
446,1134094,ST
447,1134095,ST
448,1134096,ST
449,1134097,ST
450,1134098,BB
451,1134099,BB
452,1134100,MV
453,1134101,MV
454,1134102,MV
455,1134103,MV
456,1135074,BY
457,1135075,BY
458,1135076,BY
459,1135077,BY
460,1135078,BY
461,1135079,BY
462,1135080,BY
463,1135081,BY
464,1135082,BY
465,1135083,BY
466,1135084,BY
467,1135086,SN
468,1135087,SN
469,1135088,SN
470,1135089,TH
471,1135090,SN
472,1135091,SN
473,1135092,ST
474,1135093,ST
475,1135094,BB
476,1135095,BB
477,1135096,BB
478,1135097,BB
479,1135098,BB
480,1135099,BB
481,1135100,MV
482,1135101,MV
483,1135102,MV
484,1135103,MV
485,1136074,BY
486,1136075,BY
487,1136076,BY
488,1136077,BY
489,1136078,BY
490,1136079,BY
491,1136080,BY
492,1136081,BY
493,1136082,BY
494,1136087,SN
495,1136088,SN
496,1136089,SN
497,1136090,SN
498,1136091,SN
499,1136092,ST
500,1136093,ST
501,1136094,BB
502,1136095,BB
503,1136096,BB
504,1136097,BB
505,1136098,BB
506,1136099,MV
507,1136100,MV
508,1136101,MV
509,1136102,MV
510,1136103,MV
511,1136104,MV
512,1137074,BY
513,1137075,BY
514,1137076,BY
515,1137077,BY
516,1137078,BY
517,1137079,BY
518,1137080,BY
519,1137081,BY
520,1137087,SN
521,1137088,SN
522,1137089,SN
523,1137090,SN
524,1137091,SN
525,1137092,ST
526,1137093,BB
527,1137094,BB
528,1137095,BB
529,1137096,BB
530,1137097,BB
531,1137098,BB
532,1137099,BB
533,1137100,MV
534,1137101,MV
535,1137102,MV
536,1137103,MV
537,1137104,MV
538,1137105,MV
539,1138077,BY
540,1138078,BY
541,1138079,BY
542,1138080,BY
543,1138088,SN
544,1138089,SN
545,1138090,SN
546,1138091,SN
547,1138092,BB
548,1138093,BB
549,1138094,BB
550,1138095,BB
551,1138096,BE
552,1138097,BB
553,1138098,BB
554,1138099,BB
555,1138100,MV
556,1138101,MV
557,1138102,MV
558,1138103,MV
559,1138105,MV
560,1139079,BY
561,1139088,SN
562,1139089,SN
563,1139090,SN
564,1139091,BB
565,1139092,BB
566,1139093,BB
567,1139094,BB
568,1139095,BB
569,1139096,BB
570,1139097,BB
571,1139098,BB
572,1139099,BB
573,1139100,BB
574,1139101,MV
575,1139102,MV
576,1140089,SN
577,1140090,SN
578,1140091,SN
579,1140092,BB
580,1140093,BB
581,1140094,BB
582,1140095,BB
583,1140096,BB
584,1140097,BB
585,1140099,BB
586,1140100,MV
587,1141090,SN
588,1141091,SN
589,1141092,BB
590,1141093,BB
591,1141094,BB
592,1141095,BB
593,1141096,BB
594,1142089,SN
595,1142090,SN
596,1142091,SN
