ZFES,Wikipedia,Wikipedia,BnetzA,UBA,ZFES,ZFES,ZFES,ZFES,ZFES,Wikipedia,Wikipedia,Wikipedia,Wikipedia,OPSD,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,OPSD,dena,dena,dena,dena,dena
name,name,state,turbine,turbine,state,turbine,pump,hight_diff,energy,turbine,energy,ensured_operation,commissioning,commissioning,Grad/Nord,Minuten/Nord,Sekunden/Nord,Grad/Ost,Minuten/Ost,Sekunden/Ost,latitude,longitude,efficiency,energy_inflow,turbine,pump,energy,efficiency
Bleiloch,Pumpspeicherwerk Bleiloch,Thüringen,,,TH,80,30,49.4,753,80,753,2018,1932,,50,31,0,11,43,12,50.5166666667,11.72,0.75,44815,80,32,640,0.61
Einsiedel,Wasserkraftwerk Kirchentellinsfurt (Ortsteil Einsiedel),Baden-Württemberg,,,BW,1.6,1.1,127,6.9,1.3,6,2018,1926,,48,32,8.8,9,7,57.4,48.5357777778,9.1326111111,0.75,,1.3,1.1,23,
Erzhausen,Pumpspeicherwerk Erzhausen an der Leine,Niedersachsen,220,222.86,NS,220,224,286.69,1032,220,1100,2018,1964,1964,51,53,56,9,55,26,51.8988888889,9.9238888889,0.75,,220,230,1600,0.8
Geesthacht,Pumpspeicherkraftwerk Geesthacht,Schleswig-Holstein,119.1,120,SH,120,96,80,534,120,600,2018,1958,1958,53,25,40,10,23,55,53.4277777778,10.3986111111,0.75,,120,96,600,0.68
Glems,Pumpspeicherwerk Glems in Metzingen-Glems,Baden-Württemberg,,,BW,90,68,283,560,90,560,2018,1969,,48,30,18.1,9,17,11.7,48.5050277778,9.2865833333,0.75,,90,68,560,0.73
Goldistal,Pumpspeicherwerk Goldisthal,Thüringen,1052,1060,TH,1060,1028,301.65,8480,1060,8480,2018,2003,2004,50,30,29,11,1,33,50.5080555556,11.0258333333,0.8,,1060,1140,8480,0.8
Happurg,Pumpspeicherkraftwerk Happurg bei Nürnberg,Bayern,160,162.1,BY,160,160,209,840,160,900,2018,1958,1958,49,29,14,11,28,29,49.4872222222,11.4747222222,0.75,,160,126,900,0.72
Häusern,Schluchseewerk: Kraftwerk Häusern,Baden-Württemberg,100,145,BW,100,100,200,514,90,463,2018,1931,1931,47,45,17,8,11,16,47.7547222222,8.1877777778,0.75,21381,144,104,46330,0.7
Hohenwarte I,Pumpspeicherwerk Hohenwarte I,Thüringen,,,TH,62.75,36,56,795,62.8,795,2018,1959,,50,36,34,11,29,52,50.6094444444,11.4977777778,0.75,67929,62.75,34,504,0.6
Hohenwarte II,Pumpspeicherwerk Hohenwarte II,Thüringen,317.8,320,TH,320,336,302,2087,320,2087,2018,1966,1966,50,36,34,11,29,52,50.6094444444,11.4977777778,0.75,,320,310,2087,0.68
Koepchenwerk,PSW Herdecke,Nordrhein-Westfalen,165,153,NW,153,153.59,155.35,590,153,590,2018,1989,1989,51,24,41,7,27,14,51.4113888889,7.4538888889,0.75,,153,153.6,590,0.75
Langenprozelten,Pumpspeicherkraftwerk Langenprozelten bei Gemünden am Main (Franken),Bayern,164,168.4,BY,168.4,154,297.2,950,160,950,2018,1976,1974,50,2,22,9,34,53,50.0394444444,9.5813888889,0.75,,168,154,950,
Leitzachwerk I und II,Leitzachwerk I (neu)  und II,Bayern,,,BY,98.2,82.2,128,628.9,93,1100,2018,1983,,47,52,30,11,52,15,47.875,11.8708333333,0.75,86870,98.2,82.2,1100,0.76
Markersbach,Pumpspeicherwerk Markersbach,Sachsen,1045.2,1050,SN,1050,1140,288,4018,1050,4018,2018,1981,1980,50,30,35.4,12,52,7.9,50.5098333333,12.8688611111,0.75,,1050,1140,4018,0.73
Niederwartha,Pumpspeicherwerk Niederwartha in Dresden,Sachsen,,,SN,40,40,142.5,591,120,591,2018,1930,,51,5,36,13,36,37,51.0933333333,13.6102777778,0.75,,120,120,591,0.53
Oberberg I,Ruselkraftwerke (Pumpspeicherwerke Oberberg I und II) in Deggendorf,Bayern,,,BY,8.4,11,200,100,14,nan,2018,1986,,48,52,53,13,0,31,48.8813888889,13.0086111111,0.75,,10.4,10.8,,0.65
Pfreimd (Tanzmühle. Reisach),"Kraftwerksgruppe Jansen an der Pfreimd (Pumpspeicherwerk Tanzmühle 25.2 MW, Pumpspeicherwerk Reisach 98.3 MW und Ausgleichswerk Trausnitz)",Bayern,,,BY,127,127,150,600,135,404,2018,1961,,49,38,49,12,10,2,49.6469444444,12.1672222222,0.75,,140,105.5,1034,0.74
Rönkhausen,Pumpspeicherwerk Rönkhausen in Finnentrop,Nordrhein-Westfalen,138,140,NW,140,140,265.5,690,140,690,2018,1969,1969,51,13,26,7,59,37,51.2238888889,7.9936111111,0.75,,140,140,690,0.75
Säckingen,Schluchseewerk: Kavernenkraftwerk Bad Säckingen,Baden-Württemberg,360,370,BW,360,296,400,2064,370,2064,2018,1967,1966,47,33,27,8,2,44,47.5575,8.0455555556,0.75,28035,353,301,2064,0.77
Schwarzenbachwerk,Schwarzenbach-Kraftwerk in Forbach,Baden-Württemberg,,,BW,46,20,357,265.5,44,198,2018,1926,,48,39,17,8,19,46,48.6547222222,8.3294444444,0.75,,45,43,10550,0.55
Sorpekraftwerk,Sorpekraftwerk,Nordrhein-Westfalen,,,NW,7.2,5.6,56,44,7.44,nan,2018,1935,,51,21,1,7,58,3,51.3502777778,7.9675,0.75,5728,9.9,7.3,7120,0.6
Waldeck I,Pumpspeicherwerk Waldeck I,Hessen,143,147.3,HE,140,70,296.65,487,140,478,2018,1933,1931,51,10,4.6,9,2,43.9,51.1679444444,9.0455277778,0.75,,140,96,478,0.75
Waldeck II,Pumpspeicherwerk Waldeck II,Hessen,480,480,HE,480,480,329,3428,480,3428,2018,1974,1974,51,10,4.6,9,2,43.9,51.1679444444,9.0455277778,0.75,,440,476,3428,0.8
Waldshut,Schluchseewerk: Kraftwerk Waldshut,Baden-Württemberg,150,176,BW,150,80,160,476,160,402,2018,1951,1951,47,37,4,8,11,31,47.6177777778,8.1919444444,0.75,73245,176,80,40237,0.65
Wehr,Schluchseewerk: Kraftwerk Wehr,Baden-Württemberg,910,992,BW,910,980,625,6142,980,6073,2018,1975,1975,47,33,27,8,2,44,47.5575,8.0455555556,0.75,,992,1000,7840,0.76
Wendefurth,Pumpspeicherwerk Wendefurth (Harz),Sachsen-Anhalt,,,SN,80,72,126,523,80,523,2018,1967,,51,44,20,10,54,25,51.7388888889,10.9069444444,0.75,,80,72,523,0.7
Witznau,Schluchseewerk: Kraftwerk Witznau,Baden-Württemberg,220,240,BW,220,128,250,642,220,626,2018,1950,1943,47,41,15,8,15,5,47.6875,8.2513888889,0.75,89958,220,128,62684,0.61
,Dhrontalsperre (Dhronkraftwerk),Rheinland-Pfalz,,,nan,nan,nan,nan,nan,6.18,nan,1995,1956,,49,47,38,6,54,0,49.7938888889,6.9,0.75,,,,,
,Pumpspeicherkraftwerk Oberstdorf Warmatsgund,Bayern,,,nan,nan,nan,nan,nan,4.72,22,1997,1992,,47,21,0,10,16,0,47.35,10.2666666667,0.75,,,,,
,Pumpspeicherwerk Wisenta,Thüringen,,,nan,nan,nan,nan,nan,3.3,nan,1997,1939,,50,34,34,11,43,2,50.5761111111,11.7172222222,0.75,,,,,
,Nidderkraftwerk,Hessen,,,nan,nan,nan,nan,nan,2.3,nan,1978,1923,,50,22,31,9,4,58,50.3752777778,9.0827777778,0.75,,,,,
,Pumpspeicherwerk Mittweida,Sachsen,,,nan,nan,nan,nan,nan,nan,nan,1988,1928,,50,59,22,13,0,23,50.9894444444,13.0063888889,0.75,,,,,
,Höllbachkraftwerke,Bayern,,,nan,nan,nan,nan,nan,1.5,nan,1961,1961,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,1.5,0.8,,
,Kraftwerk Kanzem,Rheinland-Pfalz,,,nan,nan,nan,nan,nan,1.2,nan,1986,1986,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,,,,
,Kraftwerk Eibele / Werk III,Bayern,,,nan,nan,nan,nan,nan,nan,nan,1971,1971,,nan,nan,nan,nan,nan,nan,nan,nan,0.75,,,,,
